71,coisa,thing,hoje as coisas estão melhores para a comu- nidade latina nos EUA.,"Today, things are better for the Latino community in the USA.",[sound:_coisa.mp3],
72,então,"then, so","a mãe dele, até então quieta, disse a primeira palavra desde que chegara.","His mother, who had been quiet until then, uttered her first word since she had arrived.",[sound:_então.mp3],
73,quem,"whom, who",o amigo a quem convidei nunca chegou a aparecer.,The friend whom I invited never showed up.,[sound:_quem.mp3],
74,sempre,always,a relação entre o pai e a mãe da criança sempre fora turbulenta.,The relationship between the child’s father and mother had always been problematic.,[sound:_sempre.mp3],
75,qual,which,ele assinou uma confissão na qual admitia ter matado um americano.,He signed a confession in which he admitted to having killed an American.,[sound:_qual.mp3],
76,chegar,to arrive,o dinheiro pode demorar dias a chegar ao seu destino.,The money could take days to arrive at its destination.,[sound:_chegar.mp3],
77,vida,life,"acho que, pela primeira vez na minha vida, compreendi-a.","I think that, for the first time in my life, I understood her.",[sound:_vida.mp3],
78,pouco,a little,quero fazer um pouco de exercício.,I want to do a little physical exercise.,[sound:_pouco.mp3],
79,homem,man,"no caso das famílias tradicionais, homens e mulheres têm papéis complementares.","In the case of traditional families, men and women have complementary roles.",[sound:_homem.mp3],
80,parte,part,esta análise divide-se em duas partes.,This analysis is divided in two parts.,[sound:_parte.mp3],
81,tudo,"everything, all",um dia fui vê-la e disse-lhe que ela devia contar tudo ao marido.,One day I went to see her and told her that she should tell everything to her husband.,[sound:_tudo.mp3],
82,casa,"house, home","eu não tinha vontade de ir; preferia ficar em casa, curtindo minha solidão.","I didn’t want to go; I preferred to stay home, enjoying my solitude.",[sound:_casa.mp3],
83,agora,now,então fale agora ou cale-se para sempre.,Then speak now or forever hold your peace.,[sound:_agora.mp3],
84,lhe,"to you, him, her",já não lembro que pergunta lhe fiz.,I can’t remember what question I asked him.,[sound:_lhe.mp3],
85,trabalho,work,o seu trabalho conduziu ao desenvolvimento das técnicas de raios X.,His work led to the development of X-Ray techniques.,[sound:_trabalho.mp3],
86,nosso,our,defendemos nossa família e as almas a nós confiadas.,We defend our family and the souls entrusted to us.,[sound:_nosso.mp3],
87,levar,"to carry (away), take (with oneself)",o avião ia levá-los a Bauru.,The airplane was going to carry them to Bauru.,[sound:_levar.mp3],
88,pois,"for, because, whereas",esta decisão mudou a história do Nepal pois introduziu a democracia.,This decision changed Nepal’s history for it introduced democracy.,[sound:_pois.mp3],
89,deixar,"to leave, allow","ele foi obrigado a deixar a cidade, mudando- se para Berlim.","He had to leave the city, so he moved to Berlin.",[sound:_deixar.mp3],
90,bom,good,em todos os lugares há árbitros bons e árbitros maus.,In every place there are good and bad referees.,[sound:_bom.mp3],
91,começar,"to begin, start",tudo ia acabar e começar de novo.,Everything was going to end and begin again.,[sound:_começar.mp3],
92,próprio,"own, very own","em 1899, ele fundou a sua própria empresa de produção de motores.","In 1899, he founded his own motor production company.",[sound:_próprio.mp3],
93,maior,"greater, larger",o Cairo é a maior cidade de África.,Cairo is the biggest city in Africa.,[sound:_maior.mp3],
94,caso,case,"o paciente, neste caso, deverá ser ligeiramente reclinado.","The patient, in this case, ought to be slightly reclined.",[sound:_caso.mp3],
95,falar,"to speak, talk",ela fala português.,She speaks Portuguese.,[sound:_falar.mp3],
96,país,country,o Brasil é um país jovem e sem compro- misso com o passado.,Brazil is a young country without a commitment to the past.,[sound:_país.mp3],
97,forma,"form, way",outra forma de arte bastante desenvolvida por eles era a escultura.,Another form of art which was highly developed by them was sculpture.,[sound:_forma.mp3],
98,cada,"each, every","o país encontra-se dividido em nove províncias, cada uma com um governador.","The country is divided in nine provinces, each one with a governor.",[sound:_cada.mp3],
99,hoje,today,sua teoria até hoje permanece praticamente intocável.,"Even today, his theory remains practically irrefutable.",[sound:_hoje.mp3],
100,nem,"neither, not, nor",nem venderam os legumes nem compraram o pão de que precisavam.,They neither sold the vegetables nor bought the bread they needed.,[sound:_nem.mp3],
