26,esse,that,esse povo quase desapareceu.,– That group of people almost disappeared.,[sound:esse.ogg],
27,outro,"other, another",você deveria entregar essa tarefa a outra pessoa.,– You should give this task to some other person.,[sound:outro.ogg],
28,muito,"very, much, many",a dominação alemã não se prolongou por muito tempo.,– The German domination didn’t last very long.,[sound:muito.ogg],
29,haver,"“there is”, to have",em cada colmeia só pode haver uma única rainha.,– In each beehive there can only be one queen.,[sound:haver.ogg],
30,ir,to go,milhares de pessoas foram à praia para ver o golfinho.,– Thousands of people went to the beach to see the dolphin.,[sound:ir.ogg],
31,todo,"all, every","esse tipo de templo influenciou todo o Oriente Médio, principalmente o Egipto.","– That type of temple influenced all of the Middle East, mainly Egypt.",[sound:todo.ogg],
32,eu,I (OBJ = me),"digo-lhes que eu, pessoalmente, sou contra a interrupção da gravidez.",– I tell you that I am personally against abortion.,[sound:eu.ogg],
33,já,"already, now",o pior já passou.,– The worst is already over.,[sound:já.ogg],
34,dizer,"to tell, say",Queres que te diga verdade?,– Would you like me to tell the truth?,[sound:dizer.ogg],
35,ano,year,"por volta do ano 174 d.C., o povo dele se rebelou contra Roma.","– Around the year 174 AD, his people revolted against Rome.",[sound:ano.ogg],
36,dar,to give,"quando voltou, ele trouxe um boné e deu de presente para o amigo.","– When he returned, he brought a baseball cap and gave it as a present to his friend.",[sound:dar.ogg],
37,também,"also, too, as well",ele cobria o rosto com o lenço e também chorava!,– He covered his face with the handkerchief and cried as well!,[sound:também.ogg],
38,quando,when,ele ficava levemente irritado quando era procurado por mendigos.,– He got a little irritated when he was approached by beggars.,[sound:quando.ogg],
39,mesmo,same,a nova lei garante os mesmos direitos jurídicos e sociais aos casais homossexuai.,– The new law guarantees the same judicial and social rights to homosexual couples.,[sound:mesmo.ogg],
40,ver,to see,não vejo graça em nada.,– I don’t see the humor in anything.,[sound:ver.ogg],
41,até,"until, even, up to",esta língua tem estado em declínio há vários séculos até recentemente.,– This language has been in decline for several centuries until recently.,[sound:até.ogg],
42,dois,two,as células possuem dois meios de reprodução: a mitose e a meiose.,– Cells have two methods of reproduction: mitosis and meiosis.,[sound:dois.ogg],
43,ainda,"still, yet",eles estavam ali por outro motivo que ela ainda não sabia.,– They were there with some other motive in mind which she still didn’t know about.,[sound:ainda.ogg],
44,isso,that (NEUT),em muitos casos fazer isso é impossível.,"– In many cases, doing that is impossible.",[sound:isso.ogg],
45,grande,"big, grand, great",outros documentos de grande importância são os escritos dos jesuítas.,– Other documents of great importance include the writings of the Jesuits.,[sound:grande.ogg],
46,vez,"(a) time, turn",ele pediu-lhe sete vezes que ela casassecom ele.,– He asked her seven times to marry him.,[sound:vez.ogg],
47,algum,some,"era-lhe preciso dizer alguma coisa, mas nenhuma palavra lhe aflorava aos lábios.","– It was necessary that he say something, but no word came from his lips.",[sound:algum.ogg],
48,ela,"she, it (her in BP)",ela é uma santa mulher.,– She is a kind and holy woman.,[sound:ela.ogg],
49,depois,after,"eles faziam esta visita geralmente aos domingos, depois do jantar.","– They generally paid a visit on Sundays, after dinner.",[sound:depois.ogg],
50,entre,"between, among",esta relação entre Portugal e os EUA mantém-se até hoje.,– This relationship between Portugal and the United States is still maintained today.,[sound:entre.ogg],
51,dia,day,no estabelecimento do velho trabalhavam noite e dia.,"– In the old man’s store, they worked day and night.",[sound:dia.ogg],
52,só,"only, just","A falar a verdade, só atravessei uma vez a fronteira.","– To tell the truth, I’ve only crossed the border once.",[sound:só.ogg],
53,aquele,that (more remote),eu escrevi aquele livro.,– I wrote that book.,[sound:aquele.ogg],
54,sobre,"about, over, above, upon",ela não tivera coragem de falar sobre a morte do marido.,– She didn’t have the courage to talk about her husband’s death.,[sound:sobre.ogg],
55,primeiro,first,a primeira coisa que tens a fazer é tomar um banho.,– The first thing you have to do is  take a bath.,[sound:primeiro.ogg],
56,ficar,"to stay, be located, get ADJ",por uns tempos você vai ficar aqui com a gente.,– For a while you will stay here with us.,[sound:ficar.ogg],
57,dever,"must, should, to owe",o patrão deve vários meses de salário aos trabalhadores da construção civil.,– The boss owes several months’ salary to the construction workers.,[sound:dever.ogg],
58,passar,"to go through, spend (time)",os presos teriam que passar ainda por outra provação.,– The prisoners would have to go through yet one more hardship.,[sound:passar.ogg],
59,saber,to know (something),ela queria saber se é verdade o que descobri.,– She wanted to know if what I discovered was true!,[sound:saber.ogg],
60,assim,"thus, so, like this",assim fica difícil.,"– This way, it’s hard.",[sound:assim.ogg],
61,querer,to want,"nem tudo pode ser como a gente quer, Teresa.","– Not everything can be the way we want, Teresa.",[sound:querer.ogg],
62,onde,where,fica onde estás.,– Stay where you are.,[sound:onde.ogg],
63,novo,new,"em dezembro desse ano, foi adoptada uma nova Constituição.","– In December of that year, a new Constitution was adopted.",[sound:novo.ogg],
64,sem,without,a maioria deles é invisível sem a ajuda do microscópio.,– Most of them are invisible without the help of a microscope.,[sound:sem.ogg],
65,vir,to come,"logo atrás vinha outro riquexó a toda a velocidade, decidido a ultrapassar.","– Right behind another rickshaw came at full speed, ready to pass.",[sound:vir.ogg],
66,tempo,"time, weather",a obra levou um período de tempo enorme para ser concluída.,– The work took an enormous amount of time to finish.,[sound:tempo.ogg],
67,bem,"well, very",Simone perguntou:.,"– Como está? Bem? –Simone asked, “How are you? Well?”",[sound:bem.ogg],
68,porque,because,"a região não se desenvolve, porque o domínio chinês é mal recebido.",– The region has not developed because Chinese rule is not welcomed.,[sound:porque.ogg],
69,meu,"my, mine",tenho saudades da minha família e do meu país.,– I miss my family and my country.,[sound:meu.ogg],
70,pessoa,person,ele era o tipo de pessoa em quem se pode confiar.,– He was the kind of person in whom you can trust.,[sound:pessoa.ogg],
71,coisa,thing,hoje as coisas estão melhores para a comunidade latina nos EUA.,"– Today, things are better for the Latino community in the USA.",[sound:coisa.ogg],
72,então,"then, so","a mãe dele, até então quieta, disse a primeira palavra desde que chegara.","– His mother, who had been quiet until then, uttered her first word since she had arrived.",[sound:então.ogg],
73,quem,"whom, who",o amigo a quem convidei nunca chegou a aparecer.,– The friend whom I invited never showed up.,[sound:quem.ogg],
74,sempre,always,a relação entre o pai e a mãe da criança sempre fora turbulenta.,– The relationship between the child’s father and mother had always been problematic.,[sound:sempre.ogg],
75,qual,which,ele assinou uma confissão na qual admitia ter matado um americano.,– He signed a confession in which he admitted to having killed an American.,[sound:qual.ogg],
76,chegar,to arrive,o dinheiro pode demorar dias a chegar ao seu destino.,– The money could take days to arrive at its destination.,[sound:chegar.ogg],
77,vida,life,"acho que, pela primeira vez na minha vida, compreendi-a.","– I think that, for the first time in my life, I understood her.",[sound:vida.ogg],
78,pouco,a little,quero fazer um pouco de exercício.,– I want to do a little physical exercise.,[sound:pouco.ogg],
79,homem,man,"no caso das famílias tradicionais, homens e mulheres têm papéis complementares.","– In the case of traditional families, men and women have complementary roles.",[sound:homem.ogg],
80,parte,part,esta análise divide-se em duas partes.,–This analysis is divided in two parts.,[sound:parte.ogg],
81,tudo,"everything, all",um dia fui vê-la e disse-lhe que ela devia contar tudo ao marido.,– One day I went to see her and told her that she should tell everything to her husband.,[sound:tudo.ogg],
82,casa,"house, home","eu não tinha vontade de ir; preferia ficar em casa, curtindo minha solidão.","– I didn’t want to go; I preferred to stay home, enjoying my solitude.",[sound:casa.ogg],
83,agora,now,então fale agora ou cale-se para sempre.,–Then speak now or forever hold your peace.,[sound:agora.ogg],
84,lhe,"to you, him, her",já não lembro que pergunta lhe fiz.,–I can’t remember what question I asked him.,[sound:lhe.ogg],
85,trabalho,work,o seu trabalho conduziu ao desenvolvimento das técnicas de raios X.,– His work led to the development of X-Ray techniques.,[sound:trabalho.ogg],
86,nosso,our,defendemos nossa família e as almas a nós confiadas.,– We defend our family and the souls entrusted to us.,[sound:nosso.ogg],
87,levar,"to carry (away), take (with oneself)",o avião ia levá-los a Bauru.,– The airplane was going to carry them to Bauru.,[sound:levar.ogg],
88,pois,"for, because, whereas",esta decisão mudou a história do Nepal pois introduziu a democracia.,– This decision changed Nepal’s history for it introduced democracy.,[sound:pois.ogg],
89,deixar,"to leave, allow","ele foi obrigado a deixar a cidade, mudando-se para Berlim.","– He had to leave the city, so he moved to Berlin.",[sound:deixar.ogg],
90,bom,good,em todos os lugares há árbitros bons e árbitros maus.,– In every place there are good and bad referees.,[sound:bom.ogg],
91,começar,"to begin, start",tudo ia acabar e começar de novo.,–Everything was going to end and begin again.,[sound:começar.ogg],
92,próprio,"own, very own","em 1899, ele fundou a sua própria empresa de produção de motores.","– In 1899, he founded his own motor production company.",[sound:próprio.ogg],
93,maior,"greater, larger",o Cairo é a maior cidade de África.,– Cairo is the biggest city in Africa.,[sound:maior.ogg],
94,caso,case,"o paciente, neste caso, deverá ser ligeiramente reclinado.","– The patient, in this case, ought to be slightly reclined.",[sound:caso.ogg],
95,falar,"to speak, talk",ela fala português.,– She speaks Portuguese.,[sound:falar.ogg],
96,país,country,o Brasil é um país jovem e sem compromisso com o passado.,– Brazil is a young country without a commitment to the past.,[sound:país.ogg],
97,fôrma,"form, way",outra forma de arte bastante desenvolvida por eles era a escultura.,– Another form of art which was highly developed by them was sculpture.,[sound:fôrma.ogg],
98,cada,"each, every","o país encontra-se dividido em nove províncias, cada uma com um governador.","– The country is divided in nine provinces, each one with a governor.",[sound:cada.ogg],
99,hoje,today,sua teoria até hoje permanece praticamente intocável.,"– Even today, his theory remains practically irrefutable.",[sound:hoje.ogg],
100,nem,"neither, not, nor",nem venderam os legumes nem compraram o pão de que precisavam.,– They neither sold the vegetables nor bought the bread they needed.,[sound:nem.ogg],
101,três,three,"como Pedro que três vezes negou Cristo e foi perdoado, eu estou arrependido.","– Like Peter who denied Christ three times and was forgiven, I am repentant.",[sound:três.ogg],
102,se,if,"Se não fosse por causa do problema do esgoto, já teríamos construído a casa.","– If it weren’t for the problem with the sewers, we would already have built the house.",[sound:se.ogg],
103,encontrar,"to find, meet","Na Europa é difícil, mas é possível encontrar um emprego.","– In Europe it is difficult, yet possible, to find a job.",[sound:encontrar.ogg],
104,meio,"means, way, half-, middle",o sacrifício era visto como um meio de santificar o acto.,– The sacrifice was seen as a way of sanctifying the act.,[sound:meio.ogg],
105,aqui,here,por uns tempos você vai ficar aqui com a gente.,– For a while you will stay here with us.,[sound:aqui.ogg],
106,mundo,world,ele viajou pelo mundo inteiro mas voltava sempre à Islândia.,– He traveled throughout the whole world but always came back to Iceland.,[sound:mundo.ogg],
107,apenas,"only, just",o Partido Socialista conseguiu apenas 18% dos votos.,– The Socialist Party only got 18% of the votes.,[sound:apenas.ogg],
108,estado,"state, condition",disseram-me que o cemitério está num estado lastimável.,– They told me that the cemetery is in terrible condition.,[sound:estado.ogg],
109,segundo,"second, according to",ele chegou em segundo lugar.,– He took second place.,[sound:segundo.ogg],
110,qualquer,any,farei qualquer coisa por você.,– I will do anything for you.,[sound:qualquer.ogg],
111,cidade,city,a cidade de Londrina foi fundada em 1930.,–The city of Londrina was founded in 1930.,[sound:cidade.ogg],
112,menos,"less, fewer","embora ele tivesse menos apoio dentro da classe governante, conseguiu ganhar o voto do povo.","– Although hehad fewer supporters among the governing class, he was able to get the popular",[sound:menos.ogg],
113,governo,government,em 1890 a colónia adquiriu o estatuto de governo.,"– In 1890, the colony acquired its own government.",[sound:governo.ogg],
114,partir,(a p. de) starting at N,com este despacho ele logo partiu para a Índia.,"– With these orders, he left for India right away.",[sound:partir.ogg],
115,conseguir,"to succeed in, be able to","foi penoso, mas conseguimos pagar dois terços da dívida.","– It was hard, but we succeeded in paying two-thirds of the debt.",[sound:conseguir.ogg],
116,tanto,"so much, enough",eu fiz tanta coisa que me senti cansado.,–I did so much that I felt tired.,[sound:tanto.ogg],
117,lado,side,os alemães atacaram então a força inglesa pelo lado dipeito.,– The Germans then attacked the English forces on the right side.,[sound:lado.ogg],
118,chamar,to call,ela achou por bem chamar a polícia.,–She thought it wise to call the police.,[sound:chamar.ogg],
119,melhor,"better, best",sei isso melhor do que ninguém.,– I know that better that anyone.,[sound:melhor.ogg],
120,pensar,to think,"e o feminismo, que pensa do feminismo?","– And feminism, what do you think about feminism?",[sound:pensar.ogg],
121,nome,name,o meu nome é Maria Sara.,– My name is Maria Sara.,[sound:nome.ogg],
122,isto,this (NEUT),porque é que isto aconteceu?,– Why has this happened?,[sound:isto.ogg],
123,certo,"certain, right, sure","em certos casos, o desflorestamento pode revelar-se benéfico.","– In certain cases, deforestation can prove to be beneficial.",[sound:certo.ogg],
124,mulher,"woman, wife","o número médio de gravidezes é duas por cada mulher, nos países industrializados.",– The average number of pregnancies per woman is two in industrialized countries.,[sound:mulher.ogg],
125,conhecer,"to know (person, place, etc.)",quem me conhece sabe que sou católico.,"– Those who know me, know that I am Catholic.",[sound:conhecer.ogg],
126,exemplo,example,"actualmente, a indústria é um bom exemplo de uma área de depressão.","– Currently, the industry is a good example of an area of depression.",[sound:exemplo.ogg],
127,existir,to exist,o oxigénio existe em duas formas gasosas.,–Oxygen exists in two gaseous forms.,[sound:existir.ogg],
128,antes,before,"antes da chegada dos europeus, a febreamarela não constituía um problema.","– Before the arrival of the Europeans, yellow fever hadn’t been a problem.",[sound:antes.ogg],
129,tal,such,nunca me passou tal coisa pela cabeça!,– Such a thing never passed through my head!,[sound:tal.ogg],
130,você,"you (EP formal, BP informal)",de onde você é?,– Where are you from?,[sound:você.ogg],
131,lá,"there, over there","se você gosta de visitas, eu vou lá na sua casa domingo.","– If you like to be visited, I’ll come to your house over there on Sunday.",[sound:lá.ogg],
132,durante,"during, for (time)",o religioso permaneceu ajoelhado durante horas.,– The religious man remained kneeling for hours.,[sound:durante.ogg],
133,terra,"land, earth",A agricultura é desenvolvida nas terras mais férteis da região.,– Agriculture is developed in the most fertile lands of the region.,[sound:terra.ogg],
134,último,last,"quando o vi pela última vez, ele era ainda uma criança.","– When I saw him last, he was still a child.",[sound:último.ogg],
135,desde,since,os meus pais estão casados desde antes de eu nascer.,– My parents have been married since before I was born.,[sound:desde.ogg],
136,contra,against,a escravidão é um crime contra a humanidade.,– Slavery is a crime against humanity.,[sound:contra.ogg],
137,aí,there,ele foi para o Brasil e ali permaneceu.,– He went to Brazil and stayed there.,[sound:aí.ogg],
138,parecer,to seem,"por incrível que pareça, é um cara que tem muita força.","– As incredible as it seems, he is a really strong guy.",[sound:parecer.ogg],
139,pequeno,small,ele alargava o seu pequeno círculo de amizades.,– He widened his small circle of friends.,[sound:pequeno.ogg],
140,quanto,how much,quanto tempo se terá passado?,– How much time has passed?,[sound:quanto.ogg],
141,nada,nothing,não te posso dizer mais nada. Já falei demai.,– I can tell you nothing more. I’ve already said too much.,[sound:nada.ogg],
142,português,Portuguese,os idiomas falados em Cabo Verde são o português e o crioulo.,– The languages spoken in Cape Verde are Portuguese and creoles.,[sound:português.ogg],
143,filho,"son, children (PL)",ele casou duas vezes e teve mais de 20 filho.,– He married twice and had more than 20 children.,[sound:filho.ogg],
144,tornar,"to become, turn into",a partir de certa altura tudo se tornou um pouco mais difícil.,"– After a certain point, everything became a little more difficult.",[sound:tornar.ogg],
145,água,water,vá buscar o remédio dela e um copo d’águ.,– Go get her medicine and a glass of water.,[sound:água.ogg],
146,direito,"right, law","num país onde não querem defender os meus direitos, não quero viver.",– I don’t want to live in a country that doesn’t want to defend my rights.,[sound:direito.ogg],
147,público,public,"obrigado a ceder à pressão da opinião pública, o político concordou.","– Obliged to concede to the pressure of public opinion, the politician agreed.",[sound:público.ogg],
148,entrar,"to come in, enter",mil perdões por eu entrar na sua casa tão tarde.,– A thousand pardons for coming into your house so late.,[sound:entrar.ogg],
149,problema,problem,o problema é mais grave.,– The problem is worse.,[sound:problema.ogg],
150,viver,to live,não só de pão vive o homem.,– Man does not live by bread alone.,[sound:viver.ogg],
151,além,"beyond, in addition to","os ligamentos auxiliam na firmeza das juntas, além da manutenção da estrutura.","– Besides helping to connect the joints, ligaments also help hold up the bone structure.",[sound:além.ogg],
152,pôr,"to put, place",a mãezinha põe o vestido bonito.,– The young mother put on a beautiful outfit.,[sound:pôr.ogg],
153,história,"story, history",a gente antiga gostava de contar histórias de valentia.,– Ancient people liked to tell stories of bravery.,[sound:história.ogg],
154,grupo,group,o grupo tem à frente a cantora Ivete Sangal.,"– The group has, as lead singer, Ivete Sangalo.",[sound:grupo.ogg],
155,hora,hour,a velocidade máxima atingida pelo veículo era de cinco quilômetros por hora.,– The maximum velocity reached by the vehicle was 5 kilometers per hour.,[sound:hora.ogg],
156,sair,to leave,durante esta época do ano não se pode entrar nem sair de Roma.,– During this time of the year you can neither enter nor leave Rome.,[sound:sair.ogg],
157,acabar,"to finish, end up",a guerra acabou.,– The war ended.,[sound:acabar.ogg],
158,continuar,to continue,deverão continuar até terminar o seu plano de estudos.,– You should all continue until you finish your course of study.,[sound:continuar.ogg],
159,tão,"so, as",a idéia era tão avançada que eu não conseguia entender.,– The idea was so advanced that I couldn’t understand it.,[sound:tão.ogg],
160,nunca,never,nunca consigo prever nada.,– I can never predict anything.,[sound:nunca.ogg],
161,dentro,"within, in, inside",há divisões dentro da própria organização.,– There are divisions within the organization itself.,[sound:dentro.ogg],
162,voltar,to return,"quando voltou para casa, fechou-se no quarto.","– When he returned home, he shut himself in his room.",[sound:voltar.ogg],
163,tomar,"to take (possession of), drink",ele tomou o poder pela primeira vez através de um golpe militar.,– He took power for the first time through a military coup.,[sound:tomar.ogg],
164,obra,"work, project",as estátuas de Buda são obras notáveis na arte japonesa.,– Statues of Buddha are notable works of Japanese art.,[sound:obra.ogg],
165,facto,fact,ele negou todos os factos.,– He denied all the facts.,[sound:facto.ogg],pt-pt
166,fato,fact,ele negou todos os factos.,– He denied all the facts.,[sound:fato.ogg],pt-br
167,ponto,"point, dot, period",é nesse ponto de vista que se baseia este trabalho.,– It is on this point of view that this work is based.,[sound:ponto.ogg],
168,trabalhar,to work,o presidente trabalha com um comité.,– The president works with a committee.,[sound:trabalhar.ogg],
169,fim,"purpose, end",não será o fim do mundo.,– It won’t be the end of the world.,[sound:fim.ogg],
170,quase,almost,era a hora do almoço e a loja estava quase deserta.,– It was lunch time and the store was almost deserted.,[sound:quase.ogg],
171,pai,"father, parents (PL)","ele subiu ao trono, sucedendo a seu pai, em 1621.","– He assumed the throne, succeeding his father in 1621.",[sound:pai.ogg],
172,apresentar,"to introduce, present","quero lhe apresentar uma pessoa que, em breve, estará connosco.",– I want to introduce you to a person that will be with us shortly.,[sound:apresentar.ogg],
173,relação,relation,as relações entre espécies num ecossistema são geralmente complexas.,– The relations between species in an ecosystem are generally complex.,[sound:relação.ogg],
174,criar,to create,a nossa preocupação é criar condições de desenvolvimento sustentado.,– Our concern is in creating conditions for sustained development.,[sound:criar.ogg],
175,considerar,to consider,ao lavar as mãos ele olhava-se no espelho e considerava minuciosamente cada feição.,"– While washing his hands, he looked in the mirror and carefully considered each expression.",[sound:considerar.ogg],
176,momento,moment,"agora é o momento decisivo, o governo tem de aprovar.",– Now is the decisive moment; the government has to approve it.,[sound:momento.ogg],
177,receber,to receive,ele recebeu um carro como presente.,– He received a car as a present.,[sound:receber.ogg],
178,ideia,idea,tive uma ideia que me pareceu boa.,– I had an idea that seemed good to me.,[sound:ideia.ogg],pt-pt
179,idéia,idea,tive uma idéia que me pareceu boa.,– I had an idea that seemed good to me.,[sound:idéia.ogg],pt-br
180,política,politics,"não sei nada de política, mas acho que o povo está sofrendo.","– I don’t know anything about politics, but I think that the common people are suffering.",[sound:política.ogg],
181,vários,"various, many",o problema pode ser encarado de várias maneiras.,– The problem can be faced in many ways.,[sound:vários.ogg],
182,lugar,place,a praia tem bons lugares para fazer campism.,– The beach has good places for camping.,[sound:lugar.ogg],
183,sentir,to feel,sabes que me sinto completamente feliz.,–You know that I feel completely happy.,[sound:sentir.ogg],
184,livro,book,agora ele está a ler um livro sobre a Guerra Civil de Espanha.,– Now he is reading a book about the Spanish Civil War.,[sound:livro.ogg],
185,nós,"we, us (OBJ = nos)",cada um de nós tem sua alma individual.,–Every one of us has an individual soul.,[sound:nós.ogg],
186,mês,month,"o volume de crisântemos intensifica-se nos meses de maio, outubro e dezembro.","– The volume of chrysanthemums increases in the months of May, October and December.",[sound:mês.ogg],
187,alto,"tall, high, top",o monte Evereste é a montanha mais alta do mundo.,– Mount Everest is the highest mountain in the world.,[sound:alto.ogg],
188,força,"force, power, strength","no entanto, recusou a desarmar as forças militares da organização.","– Nevertheless, he refused to disarm the military forces of the organization.",[sound:força.ogg],
189,acontecer,"to happen, occur",o que acha que vai acontecer?,– What do you think will happen?,[sound:acontecer.ogg],
190,família,family,a minha vida de família tem sido uma desgraça.,– My family life has been a disgrace.,[sound:família.ogg],
191,tipo,"type, like","desta forma, pode distinguir-se dois tipos de dislexia.","– In this way, you can distinguish between the two types of dyslexia.",[sound:tipo.ogg],
192,presidente,president,"a lei foi aprovada pelo senado, e o presidente teve que a aprovar também.",– The law was approved by the Senate and the President had to approve it as well.,[sound:presidente.ogg],
193,mil,thousand,a mulher é mil vezes mais interessante do que o homem.,– A woman is a thousand times more interesting than a man,[sound:mil.ogg],
194,tratar,"to treat, deal with",ele foi recebido e tratado com respeito devido a ser pessoa de importância.,– He was received and treated with respect because he is an important person.,[sound:tratar.ogg],
195,enquanto,while,são aves que se alimentam enquanto voa.,– They are birds that feed while they fly.,[sound:enquanto.ogg],
196,perder,to lose,temos de vencer porque não podemos perder.,– We must win because we cannot lose.,[sound:perder.ogg],
197,achar,"to find, think, suppose","meu capitão, não acharemos socorro.","– My captain, we will not find aid.",[sound:achar.ogg],
198,escrever,to write,o poeta começou a escrever ainda muito jovem.,– The poet began to write while still very young.,[sound:escrever.ogg],
199,quatro,four,são quatro países-membros do Mercosul.,– There are four member countries of Mercosul.,[sound:quatro.ogg],
200,usar,to use,"sem autorização, não se pode usar o nome alheio.","– Without authorization, you cannot use another person’s name.",[sound:usar.ogg],
201,único,"only, unique",eles consideravam que o prazer constituía a única coisa absolutamente valiosa.,– They believed that pleasure constituted the only absolutely valuable thing.,[sound:único.ogg],
202,nenhum,"none, not a single one",ele trabalhou para oito presidentes e nenhum o demitiu.,– He worked for eight presidents and none of them fired him.,[sound:nenhum.ogg],
203,contar,"to tell, count",que tal se você nos contar a história toda desde o começo?,– How about you tell us the whole story from the beginning?,[sound:contar.ogg],
204,real,"real, royal, Brazilian currency",voltar ao Brasil era-lhe um sonho que se tornou real em fevereiro.,– Returning to Brazil was a dream of his that became reality in February.,[sound:real.ogg],
205,palavra,word,essa palavra é muito forte.,– That word is very strong.,[sound:palavra.ogg],
206,embora,"although, even though","embora se encontrem divididos em  vários estados, os curdos têm aspirações nacionalistas.","– Although they are divided into different states, Kurds have nationalist aspirations.",[sound:embora.ogg],
207,diferente,different,"outros virão, talvez melhores, piores; mas diferentes.","– Others will come, maybe better, maybe worse, but definitely different.",[sound:diferente.ogg],
208,possível,possible,ele argumentava que o socialismo só seria possível se todas as nações o praticassem.,– He argued that socialism would only be possible if all nations practiced it.,[sound:possível.ogg],
209,importante,important,a França desempenhou um papel muito importante contra a coligação austro-alem.,– France played a very important role against the Austro-German alliance.,[sound:importante.ogg],
210,mostrar,to show,"quando chegámos àquele ponto na estrada, tivemos que parar para mostrar os nossos documentos.",– When we got to the checkpoint we had to stop to show our personal identification.,[sound:mostrar.ogg],
211,social,social,refiro-me às diferenças sociais marcadas pelo fosso que separa ricos e pobres.,–I am referring to the social differences marked by the gap that separates the rich from the poor.,[sound:social.ogg],
212,ali,there,sentava-se e ali ficava até a hora do almoç.,– He sat down and there he remained until lunchtime.,[sound:ali.ogg],
213,claro,"clear, light",o novo líder deixou claro também que não pretende negociar mudanças.,– The new leader also made it clear that he doesn’t plan on negotiating any changes.,[sound:claro.ogg],
214,mão,hand,João apertou a mão de Raul.,– João shook Raul’s hand.,[sound:mão.ogg],
215,logo,"soon, quickly, as soon as","se o senhor for paciente, logo compreender.","– Sir, if you’re patient, you will soon understand.",[sound:logo.ogg],
216,rio,river,o rio Jordão é a fonte de abastecimento de água da Jordânia.,– The River Jordan is the source that provides Jordan’s water.,[sound:rio.ogg],
217,seguir,to follow,nós ficámos preocupadas quando vimos que o homem nos vinha a seguir.,– We got worried when we realized that the man was following us.,[sound:seguir.ogg],
218,situação,situation,"a situação continua tensa no local, com a guerrilha ainda em acção.","– The situation continues to be tense in the area, with the guerrillas still in action.",[sound:situação.ogg],
219,questão,"question, issue, point",na mesa de negociações estavam questões complexas.,– There were complex questions on the negotiation table.,[sound:questão.ogg],
220,procurar,"to seek, look for",todas as editoras procuram a qualidade.,– All editors seek quality.,[sound:procurar.ogg],
221,campo,field,a seleção brasileira de futebol entrará em campo amanhã contra a Itália.,– The Brazilian national team will go on the field against Italy tomorrow.,[sound:campo.ogg],
